Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD,Spend_ILS,Spend_AUD,Spend_TWD,Spend_BRL,Spend_ARS,Spend_ZAR,Spend_CLP,Spend_MXN
AR13330474027353899009,Andrew Woodward,,AU,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0
AR02205529993566486529,REMOTE MARKETING S.R.L,,"AT, BE, BG, CY, CZ, DE, DK, ES, FR, GR, HR, HU, IE, IT, LU, MT, NL, PL, PT, RO, SE, SI, SK",,83,0,15450,0,100,0,0,20000,0,76750,0,0,0,0,0,0,0,0,0,0,0
AR01447823717315903489,PREMIERE M S.R.L.,,"AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SK",,176,0,29550,0,100,1500,500,20000,250,146000,1000,0,0,0,0,0,0,0,0,0,0
AR08979790628883791873,CDU Christlich Demokratische Union,,"AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK",,33204,0,1028750,0,200,4500,500,40000,1250,250,1000,50,0,0,0,0,0,0,0,0,0
AR10008464433333927937,FUND FOR A WORKING CONGRESS,FEC ID C00637041,US,,3,6900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR09828900045485768705,SCOTT MEYER FOR PUBLIC OFFICE,EIN ID 81-2231939,US,,2,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR16047570566160318465,WILKIN FOR CONGRESS,EIN ID 93-4880563,US,,1,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR04026155961642123265,Vote4Benbow,EIN ID 93-4966769,US,,3,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR12072804764388163585,WERSTLER 2024,EIN ID 99-2470805,US,,11,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR08309915987159810049,ELEICAO 2022 ANTONIA MINDLIN LEITE BARBOSA DEPUTADO FEDERAL,,BR,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149500,0,0,0,0
AR13466995094775136257,Anders Adlercreutz,,"BE, DE, DK, EE, ES, FI, FR, IT, NL, PT, SE",,14,0,1550,0,0,0,500,0,0,0,1000,0,0,0,0,0,0,0,0,0,0
AR07658846567683588097,BURT JONES FOR GEORGIA,EIN ID 87-2015461,US,,4,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR03005469473512620033,MD Rahman for Senate,Registered in US-CT ,US,,18,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR11323515524526112769,PROGRESS NC ACTION IE PAC,EIN ID 83-1926252,US,,85,15800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR15665906646817701889,Subham Singh,,IN,,1,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR14114756633519194113,ASSOCIATED REPUBLICANS OF TEXAS CAMPAIGN FUND,EIN ID 74-1823059,US,,46,6900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR04315289157099323393,"OPPORTUNITY MATTERS FUND, INC.",FEC ID C00750182,US,,46,585600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR15988619391243649025,Paul Gosar for Congress,FEC ID C00461806,US,,20,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
